doc_id,path,filename,source_kind,source_label,generation,variant_no,product_alias,sales_start_ym,sales_end_ym,is_current,coverage_name
coverage_criteria__1세대__01,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__1세대__01.md,coverage_criteria__1세대__01.md,coverage_criteria,담보별 보상기준,1세대,1,구계약,,200309,false,일반상해의료비
coverage_criteria__1세대__02,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__1세대__02.md,coverage_criteria__1세대__02.md,coverage_criteria,담보별 보상기준,1세대,2,구계약,,200309,false,질병입원의료비
coverage_criteria__1세대__03,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__1세대__03.md,coverage_criteria__1세대__03.md,coverage_criteria,담보별 보상기준,1세대,3,신계약,200310,200907,false,일반상해의료비
coverage_criteria__1세대__04,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__1세대__04.md,coverage_criteria__1세대__04.md,coverage_criteria,담보별 보상기준,1세대,4,신계약,200310,200907,false,질병입원의료비 80%
coverage_criteria__1세대__05,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__1세대__05.md,coverage_criteria__1세대__05.md,coverage_criteria,담보별 보상기준,1세대,5,신계약,200310,200907,false,질병입/통원
coverage_criteria__1세대__06,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__1세대__06.md,coverage_criteria__1세대__06.md,coverage_criteria,담보별 보상기준,1세대,6,신계약,200310,200907,false,상해입/통원
coverage_criteria__2세대__01,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__2세대__01.md,coverage_criteria__2세대__01.md,coverage_criteria,담보별 보상기준,2세대,1,표준화 실손(신신계약),200908,201508,false,(선택형)상해∙질병실손의료비 | (입/통원)
coverage_criteria__2세대__02,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__2세대__02.md,coverage_criteria__2세대__02.md,coverage_criteria,담보별 보상기준,2세대,2,표준화 실손(신신계약),201401,201512,false,(표준형)상해∙질병실손의료비 | (입/통원)
coverage_criteria__2세대__03,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__2세대__03.md,coverage_criteria__2세대__03.md,coverage_criteria,담보별 보상기준,2세대,3,표준화 실손(신신계약),201401,201512,false,(선택형Ⅱ)상해∙질병실손의료비 | (입/통원)
coverage_criteria__2세대__04,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__2세대__04.md,coverage_criteria__2세대__04.md,coverage_criteria,담보별 보상기준,2세대,4,개정실손(1601),201601,201703,false,(표준형)실손의료비(입/통원) | (선택형Ⅱ)실손의료비(입/통원)
coverage_criteria__3세대__01,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__3세대__01.md,coverage_criteria__3세대__01.md,coverage_criteria,담보별 보상기준,3세대,1,착한실손(1704),201704,202106,false,기본형실손(상해∙질병)
coverage_criteria__3세대__02,/mnt/data/silsone_rag_package/search_docs_md/coverage_criteria__3세대__02.md,coverage_criteria__3세대__02.md,coverage_criteria,담보별 보상기준,3세대,2,착한실손(1704),201704,202106,false,비급여 특약형
